SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10
CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10
CHOICEIN,Choice International Limited,EQ,08-APR-2022,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1
CIEINDIA,CIE Automotive India Limited,EQ,30-AUG-2007,10
CIFL,Capital India Finance Limited,EQ,17-APR-2025,2
CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10
CINELINE,Cineline India Limited,EQ,13-JUN-2012,5
CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,2
CIPLA,Cipla Limited,EQ,08-FEB-1995,2
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2
CMICABLES,CMI Limited,BZ,29-NOV-2016,10
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10
CNL,Creative Newtech Limited,EQ,05-AUG-2019,10
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10
COASTCORP,Coastal Corporation Limited,BE,08-OCT-2021,2
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10
COFORGE,Coforge Limited,EQ,30-AUG-2004,2
COHANCE,Cohance Lifesciences Limited,EQ,09-MAR-2020,1
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1
COMPINFO,Compuage Infocom Limited,BZ,07-JUL-2016,2
COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2
COMSYN,Commercial Syn Bags Limited,BE,23-JAN-2024,10
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,2
CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1
CORONA,CORONA Remedies Limited,EQ,15-DEC-2025,10
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,10
COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,1
CPCAP,CP Capital Limited,EQ,06-OCT-2010,10
CPEDU,Career Point Edutech Limited,EQ,05-SEP-2025,10
CPPLUS,Aditya Infotech Limited,EQ,05-AUG-2025,1
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-OCT-2025,10
CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,5
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10
CREST,Crest Ventures Limited,EQ,27-DEC-2006,10
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1
CRIZAC,Crizac Limited,EQ,09-JUL-2025,2
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2
CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10
CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,10
CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10
CUB,City Union Bank Limited,EQ,25-AUG-1998,1
CUBEXTUB,Cubex Tubings Limited,EQ,24-APR-1996,10
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2
CUPID,Cupid Limited,EQ,16-SEP-2016,1
CURAA,Cura Technologies Limited,BE,21-MAR-2025,10
CYBERMEDIA,Cyber Media (India) Limited,BE,10-JUN-2005,10
CYBERTECH,Cybertech Systems And Software Limited,BE,27-JAN-1999,10
CYIENT,Cyient Limited,EQ,30-SEP-1998,5
CYIENTDLM,Cyient DLM Limited,EQ,10-JUL-2023,10
DABUR,Dabur India Limited,EQ,28-APR-1999,1
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-DEC-2024,2
DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5
DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1
DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2
DAVANGERE,Davangere Sugar Company Limited,EQ,25-JAN-2024,1
DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10
DBEIL,Deepak Builders & Engineers India Limited,EQ,28-OCT-2024,10
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10
DBREALTY,Valor Estate Limited,EQ,24-FEB-2010,10
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2
DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2
DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10
DCI,Dc Infotech And Communication Limited,EQ,19-OCT-2022,10
DCM,DCM  Limited,EQ,29-MAR-1995,10
DCMFINSERV,DCM Financial Services Limited,EQ,21-MAY-1997,10
DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2
DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2
DCW,DCW Limited,EQ,25-MAY-1995,2
DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,2
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-JAN-2025,1
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5
DEEDEV,DEE Development Engineers Limited,EQ,26-JUN-2024,10
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2
DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,5
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,10
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,10
DEN,Den Networks Limited,EQ,24-NOV-2009,10
DENORA,De Nora India Limited,EQ,07-AUG-1997,10
DENTA,Denta Water and Infra Solutions Limited,EQ,29-JAN-2025,10
DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,2
DEVX,Dev Accelerator Limited,EQ,17-SEP-2025,2
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2
DHARAN,DHARAN INFRA-EPC LIMITED,BZ,02-APR-2018,1
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10
DHRUV,Dhruv Consultancy Services Limited,EQ,25-NOV-2021,10
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10
DIACABS,Diamond Power Infrastructure Limited,EQ,15-SEP-2023,1
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-SEP-2023,10
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5
DICIND,DIC India Limited,EQ,30-AUG-1995,10
DIFFNKG,Diffusion Engineers Limited,EQ,04-OCT-2024,10
DIGIDRIVE,Digidrive Distributors Limited,EQ,10-JAN-2024,10
DIGISPICE,DiGiSPICE Technologies Limited,BE,27-MAY-2008,3
DIGITIDE,Digitide Solutions Limited,EQ,11-JUN-2025,10
DIGJAMLMTD,Digjam Limited,EQ,18-OCT-2021,10
DIL,Debock Industries Limited,EQ,31-MAR-2022,10
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023,5
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2
DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10
DLF,DLF Limited,EQ,05-JUL-2007,2
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10
DOLATALGO,Dolat Algotech Limited,EQ,12-JAN-2024,1
DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,21-AUG-2023,1
DOMS,DOMS Industries Limited,EQ,20-DEC-2023,10
DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020,10
DPSCLTD,DPSC Limited,EQ,21-APR-2008,1
DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10
DRCSYSTEMS,DRC Systems India Limited,EQ,10-MAR-2021,1
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,2
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,1
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10
DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,1
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1
DYCL,Dynamic Cables Limited,EQ,27-JUL-2022,10
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10
DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,10
E2E,E2E Networks Limited,EQ,12-APR-2022,10
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1
EASTSILK,Eastern Silk Industries Limited,BE,03-JUL-1996,2
EBGNG,GNG Electronics Limited,EQ,30-JUL-2025,2
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,04-SEP-2024,2
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1
EDUCOMP,Educomp Solutions Limited,BZ,13-JAN-2006,2
EFCIL,EFC (I) Limited,EQ,20-AUG-2025,2
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1
EIEL,Enviro Infra Engineers Limited,EQ,29-NOV-2024,10
EIFFL,Euro India Fresh Foods Limited,EQ,12-OCT-2021,10
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,10
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,1
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1
ELIN,Elin Electronics Limited,EQ,30-DEC-2022,5
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-JUL-2025,2
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2
EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,2
EMBDL,Embassy Developments Limited,EQ,23-MAR-2007,2
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-JUL-2024,10
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10
EMKAY,Emkay Global Financial Services Limited,BE,28-APR-2006,10
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-NOV-2025,2
EMSLIMITED,EMS Limited,EQ,21-SEP-2023,10
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10
ENERGYDEV,Energy Development Company Limited,BE,02-NOV-2007,10
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10
ENRIN,Siemens Energy India Limited,EQ,19-JUN-2025,2
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10
EPACK,EPACK Durable Limited,EQ,30-JAN-2024,10
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-OCT-2025,2
EPIGRAL,Epigral Limited,EQ,18-AUG-2021,10
EPL,EPL Limited,EQ,11-FEB-2002,2
EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-NOV-2023,10
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10
ESSARSHPNG,Essar Shipping Limited,BE,15-NOV-2011,10
ESSENTIA,Integra Essentia Limited,EQ,20-AUG-2013,1
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5
ETERNAL,ETERNAL LIMITED,EQ,23-JUL-2021,1
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10
EUREKAFORB,Eureka Forbes Limited,EQ,11-SEP-2024,10
EUROBOND,Euro Panel Products Limited,EQ,01-AUG-2025,10
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-SEP-2025,1
EUROTEXIND,Eurotex Industries and Exports Limited,BE,31-JAN-1996,10
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,1
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-NOV-2025,10
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024,10
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10
EXXARO,Exxaro Tiles Limited,BE,16-AUG-2021,1
FABTECH,Fabtech Technologies Limited,EQ,07-OCT-2025,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,1
FCONSUMER,Future Consumer Limited,BE,04-JUL-2013,6
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1
FDC,FDC Limited,EQ,07-AUG-1997,1
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10
FEL,Future Enterprises Limited,BZ,05-NOV-2001,2
FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,2
FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,10
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10
FILATEX,Filatex India Limited,EQ,29-AUG-2011,1
FILATFASH,Filatex Fashions Limited,EQ,06-MAY-2024,1
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5
FINKURVE,Finkurve Financial Services Limited,EQ,01-OCT-2025,1
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2
FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024,2
FISCHER,Fischer Medical Ventures Limited,EQ,10-JUL-2025,1
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-OCT-2011,10
FLFL,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,2
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10
FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,2
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1
FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024,10
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10
FUSION,Fusion Finance Limited,EQ,15-NOV-2022,10
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10
GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024,10
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,2
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1
GANESHCP,Ganesh Consumer Products Limited,EQ,29-SEP-2025,10
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-MAR-2007,10
GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,1
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10
GARUDA,Garuda Construction and Engineering Limited,EQ,15-OCT-2024,5
GATECH,GACM Technologies Limited,EQ,25-JUL-2016,1
GATECHDVR,GACM Technologies Limited,EQ,10-OCT-2017,1
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10
GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2
GCSL,Gretex Corporate Services Limited,BE,04-SEP-2025,10
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,1
GEMAROMA,Gem Aromatics Limited,EQ,26-AUG-2025,2
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5
GENSOL,Gensol Engineering Limited,BZ,03-JUL-2023,10
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1
GFSTEELS,Grand Foundry Limited,BE,22-JUL-2019,4
GHCL,GHCL Limited,EQ,31-JUL-2003,10
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023,2
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,10
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10
GKENERGY,GK Energy Limited,EQ,26-SEP-2025,2
GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1
GLOBAL,Global Education Limited,BE,07-DEC-2020,2
GLOBALE,Globale Tessile Limited,EQ,27-AUG-2024,10
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-OCT-2020,2
GLOBECIVIL,Globe Civil Projects Limited,EQ,01-JUL-2025,10
GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10
GLOSTERLTD,Gloster Limited,EQ,26-APR-2024,10
GLOTTIS,Glottis Limited,EQ,07-OCT-2025,2
GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-AUG-2006,1
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5
GNA,GNA Axles Limited,EQ,26-SEP-2016,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2
GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10
GODAVARIB,Godavari Biorefineries Limited,EQ,30-OCT-2024,10
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,10
GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,10
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,1
GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,10
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,11-APR-2001,10
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2
GOPAL,Gopal Snacks Limited,EQ,14-MAR-2024,1
GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,1
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,1
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10
GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024,10
GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016,10
GRANULES,Granules India Limited,EQ,20-JUN-2005,1
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2
GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,1
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5
GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,5
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2
GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,10
GROWW,Billionbrains Garage Ventures Limited,EQ,12-NOV-2025,2
GRPLTD,GRP Limited,EQ,12-FEB-2015,10
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2
GSLSU,Global Surfaces Limited,BE,23-MAR-2023,10
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10
GSS,GSS Infotech Limited,EQ,07-MAR-2008,10
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,13-NOV-2020,10
GTL,GTL Limited,EQ,29-MAR-1995,10
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-OCT-1996,10
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-FEB-2025,1
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2
GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,5
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1
GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1
GVPIL,GE Power India Limited,EQ,19-APR-2000,10
GVPTECH,GVP Infotech Limited,EQ,06-SEP-2022,2
GVT&D,GE Vernova T&D India Limited,EQ,30-JUN-2008,2
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5
HALEOSLABS,HALEOS LABS LIMITED,BE,17-AUG-2017,10
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2
HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023,2
HARDWYN,Hardwyn India Limited,EQ,12-APR-2022,1
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-FEB-2000,2
HBLENGINE,HBL Engineering Limited,EQ,04-JAN-2007,1
HBSL,HB Stockholdings Limited,BE,23-JUL-2018,10
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1
HCC-RE1,Hindustan Construction-RE,BE,12-DEC-2025,1
