SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,2
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10
ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10
AMANTA,Amanta Healthcare Limited,EQ,09-SEP-2025,10
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10
ANMOL,Anmol India Limited,EQ,04-JUN-2021,10
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,10
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,2
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5
APTECHT,Aptech Limited,EQ,27-SEP-2002,10
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10
ARCHIES,Archies Limited,EQ,02-SEP-1998,2
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10
ARFIN,Arfin India Limited,BE,22-JUL-2025,1
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10
ARISINFRA,Arisinfra Solutions Limited,EQ,25-JUN-2025,2
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,10
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10
ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,2
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-SEP-2025,5
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1
ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021,10
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10
ARVIND,Arvind Limited,EQ,08-FEB-1995,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2
ASMS,Bartronics India Limited,EQ,09-FEB-2023,1
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10
ASTRAL,Astral Limited,EQ,20-MAR-2007,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10
ATALREAL,Atal Realtech Limited,EQ,12-MAY-2023,2
ATAM,Atam Valves Limited,EQ,10-MAY-2023,10
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,1
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2
ATLANTAA,ATLANTAA LIMITED,BE,25-SEP-2006,2
ATLANTAELE,Atlanta Electricals Limited,EQ,29-SEP-2025,2
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,5
ATUL,Atul Limited,EQ,06-MAY-1998,10
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10
AURIGROW,Auri Grow India Limited,EQ,24-DEC-2020,1
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1
AVG,AVG Logistics Limited,EQ,12-MAY-2023,10
AVL,Aditya Vision Limited,EQ,06-NOV-2024,1
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,1
AVROIND,AVRO INDIA LIMITED,EQ,07-APR-2022,10
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1
AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,10
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5
AWL,AWL Agri Business Limited,EQ,08-FEB-2022,1
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2
AXISCADES,AXISCADES Technologies Limited,BE,21-DEC-2000,5
AXITA,Axita Cotton Limited,BE,21-JUN-2022,1
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2
