symbol,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-26
API,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LGEN.L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESI.L,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
