symbol,2025-12-15
CASTROLIND,0.0
BIRLANU,0.036162005785915434
CAMS,0.5062294344292263
ABBOTINDIA,0.5778870406436576
BAJFINANCE,1.8045197740113001
CROMPTON,2.7166882276843514
GULFPETRO,3.7104622871046615
HDFCBANK,4.772033663183207
ARE&M,4.888613861386191
ASPINWALL,5.050505050505056
GREAVESCOT,8.842766198657005
BASML,13.793103448275865
AARTIIND,19.408974826705595
COSMOFIRST,23.76604654355736
GNFC,25.521305530371702
IFCI,28.78228782287822
DMART,29.58220787876662
BALKRISIND,30.012453300124502
COCHINSHIP,31.564851422012495
BALMLAWRIE,33.552707539545096
GENUSPOWER,34.1470337780301
GAIL,35.57118499573747
GLAXO,39.47798827858798
EXIDEIND,41.812400635930025
CIPLA,44.2093940480459
DABUR,45.21224086870679
INFY,46.14455184534269
ABSLAMC,51.37165251469627
COALINDIA,56.1224489795918
AMBUJACEM,56.876606683804674
CHOLAHLDNG,62.51141231828077
HDFCNIFIT,64.35826408125577
EIDPARRY,65.57049891540129
DATAPATTNS,67.89793714837757
AUROPHARMA,69.65195246179965
DRREDDY,70.12372634643371
CARTRADE,74.51714885364363
GLENMARK,74.56080189923503
CEATLTD,75.05076274275004
BAJAJ-AUTO,76.79503456058683
ASIANPAINT,77.48684839789573
GESHIP,91.32931380993395
CHOLAFIN,94.87623762376236
HINDALCO,95.49323985978968
ADANIPORTS,96.25091632631687
GOLDBEES,100.0
GOLDETF,100.0
HIL,
