symbol,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25
AARTIIND,-3.0147302319306344,-1.9075741337067624,-0.7006395971690053,0.6029831799428673,2.0630195912431417,3.3619631601253315,4.5705115640924925,5.755655232778581,6.911998098699769,8.170446762342245
ASIANPAINT,0.04946910189321462,-0.7333402919642766,-1.4612563612289398,-1.9616064946903484,-2.4313673127873217,-3.0480963006757804,-3.623536402791183,-4.026072949612647,-4.233375603753251,-4.248740786295648
CARTRADE,4.709331597464815,2.997312209205905,1.5563013380064554,0.4542133032026697,-0.6938710807395433,-1.9325779103632768,-3.0007305791285646,-4.246681928564481,-5.629085580904321,-7.1507715475014235
DABUR,1.1466126851597787,1.101161455741285,1.0822673367311044,1.1629394359790668,1.0776727167157787,0.8241788077051113,0.6916037450027028,0.6497253438257341,0.6297307449989628,0.6660149089575987
DATAPATTNS,-6.238890126774897,-5.857661960974469,-5.286503393014098,-4.332437417732369,-3.184495937733283,-2.173512154386857,-0.8520719729385959,0.3896684982415286,1.132239932504366,1.9328590044200684
DRREDDY,-2.7589594572037077,-2.423171967749461,-2.054423144446567,-1.6329843744404506,-1.190191163966071,-0.9853605058414745,-0.8563457548627871,-0.6319070153116034,-0.36017932349169973,-0.0070638060104392855
HCLTECH,4.657117412482981,3.930757284523565,3.157950643644536,2.542614615622525,1.8946866272970955,1.1656695548562492,0.36754947379357905,-0.4970188693478419,-1.6231611994886086,-2.62578026097734
HDFCNIFIT,2.456197509412123,1.6163742932080636,0.8132121751549729,0.15632238645273508,-0.5374743366360198,-1.3077896296257951,-2.1203606180617243,-3.0311749853535113,-4.1398828516137565,-5.1273995331410305
ICICIBANK,-1.692808280780011,-1.6719529675954077,-1.5694841251042182,-1.4421783829633117,-1.223400332543715,-1.0559509705235293,-0.8539825910434982,-0.6992314015355016,-0.6155329365741558,-0.5419086867638033
ICIL,-6.345474133521225,-5.486581691847111,-4.36457407191963,-3.0869877443125597,-1.866011971797044,-0.7511789343461067,0.5275457578084962,1.360599673421896,2.063544918710165,2.9822898948223564
INFY,3.303137848699158,2.3145712782745855,1.3437419684796303,0.5171821261443824,-0.3079383838762851,-1.19181819799158,-2.1434377552318793,-3.203825486480691,-4.373319875035053,-5.488787682926322
IRBINVIT,1.8037617878276988,1.7728839659840554,1.66651538085998,1.5570534086237353,1.4656954722156588,1.3409142121884032,1.2518778984510934,1.151932216827212,1.060161127534045,0.9959435387531399
ITIETF,2.373763574093483,1.5426275940684022,0.749013783994742,0.10148112637825125,-0.5795798077533715,-1.3499907790919619,-2.1477482239223047,-3.0511577786813033,-4.161768046267949,-5.14536132958896
KTKBANK,0.6580843818110107,0.9518354410815449,1.3539873568680258,2.0006004415383973,2.6338108809910974,3.1715709038713165,3.7612401064247782,4.334974330307128,4.815518298452892,5.320107445188387
METROPOLIS,-0.1883042541517378,-0.1366115585847735,-0.12865215039399505,-0.13686056505982608,-0.19770075557463399,-0.21393861749487544,-0.14357576482704654,0.08676029570238133,0.20510728838812123,0.3730667949778862
MIDCAPETF,0.4838016299588649,0.42173947640647197,0.3974358683030714,0.4991914824033852,0.6964148707728266,0.7518558179211257,0.9138321995464823,1.0391052589831065,1.075010645912428,1.145245577966348
PETRONET,0.4723895551831353,0.6106163726453007,0.9003954374869146,1.3164809868178142,1.8100569530302368,2.2811286708778686,2.7795177697829794,3.293160826157611,3.6020848504229313,3.91715200906552
PGINVIT,1.2477223009642682,1.0868495577156476,0.8702646201123132,0.6737103329557707,0.5278989403807275,0.29765558711268847,0.15331843601014772,0.002507708477804924,-0.13824580944095047,-0.29615112476964695
PHARMABEES,-0.7562395272951837,-0.780170142785031,-0.7434542741457308,-0.5987390559888133,-0.4058412944618526,-0.32711052370724936,-0.1984183786950028,-0.05855857839143295,0.11641187357097041,0.40934476243267204
PTC,-0.773716485178507,0.049386114405763494,0.5514007394807998,1.1936112053509425,1.8293610599002315,2.235506947728261,2.5724761768122475,2.5964298763738425,2.349302541313839,2.110907828428622
