symbol,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16
CHOLAHLDNG,1.8547309573386546,1.6686972740438886,1.5571573407408985,1.3371397350747465,1.1185297923327047,0.8993546248322364,0.589226432177793,0.31826189360090795
CIPLA,0.508081064203216,0.4545078154221383,0.37136074649641904,0.2686173790519414,0.2131984761811452,0.1508309581326054,0.04929708697827622,-0.011909833475412452
GAIL,0.03624914095642647,-0.40198673144046054,-0.8151943909075646,-1.2694486903061737,-1.7039927369982877,-2.096108565769086,-2.5669252188575498,-3.050793365845863
GENUSPOWER,-0.18289768758504393,-0.7125490571455969,-1.3094354351136954,-1.8817934211039455,-2.4190947045613256,-2.891005472113003,-3.5862793802684534,-4.2990343092043
ICICIBANK,-0.868739774281986,-0.8059801729884153,-0.7981118844305438,-0.9800329561291162,-1.138719884667703,-1.2427313697871838,-1.3283942936315258,-1.4446376263412983
INFY,0.5474056974003284,0.913914020675418,1.1928136418604942,1.359696496782749,1.5723070761145066,1.9195983140604767,2.269891034542989,2.656574941490144
NATCOPHARM,-0.13956203484743518,0.47753469567684914,1.04956927657612,1.3124829344822753,1.7923492970646393,2.275298292840003,2.695972126047282,3.2397168883574508
ONGC,1.706738767833913,1.3155519712786763,1.159235484198176,0.9791730365046016,0.7939161042533591,0.5561906086513052,0.284309854281373,-0.05789666665839453
RUBFILA,0.9775283304174212,0.5871895356985293,0.17835234612161432,-0.20426577513639518,-0.7271444340245589,-1.2228715498525509,-1.723414616117311,-2.2317139111593565
SMALLCAP,0.7343779413214772,0.46818231214169465,0.23261205304497454,-0.07232617087785459,-0.32008237084788405,-0.5290839541781249,-0.762923335208646,-0.9704916419636223
TECHM,-1.7168547577428788,-1.0499434156276135,-0.4934832354989589,-0.13470694603425706,0.28265346101553535,0.7684219174944277,1.1882795900808116,1.7121975481787899
TITAGARH,-0.7847461039366298,-1.2324083644748325,-1.746125529943361,-2.468128827316975,-3.009955612743262,-3.5186103384975307,-4.042912896084247,-4.517508246488388
TTKPRESTIG,1.9923072253242178,1.8155799878621408,1.611966709984241,1.4319074515756423,1.309420815114454,1.1720269883561407,0.9877211511011348,0.8010331884476499
WIPRO,-1.589017467964805,-1.114967297301228,-0.7560966683533349,-0.4631605589444885,-0.16770960267333052,0.1620685544213394,0.5103683751521966,0.8790497099854433
