symbol,2026-01-21
AARTIIND,0.0
ARE&M,0.0
CAMS,0.0
BASML,0.0
BALMLAWRIE,0.0
CIPLA,0.0
CROMPTON,0.0
EXIDEIND,0.0
HDFCAMC,0.0
HDFCBANK,0.0
HGS,0.0
GULFPETRO,0.0
GNFC,0.0
PPL,0.0
JINDALPOLY,0.0
ITC,0.0
TATACHEM,0.0
STOVEKRAFT,0.0
TTKPRESTIG,0.0
WSTCSTPAPR,0.2385923053981374
JUBLFOOD,0.327332242225854
GENUSPOWER,0.4042288557213789
GREAVESCOT,0.4070950857807519
WHIRLPOOL,0.4388619854721515
GLAXO,0.4943029490616698
PTC,0.5054945054945454
PCBL,0.7908611599297146
DMART,0.8791208791208485
BAJFINANCE,0.9406779661016949
TMPV,1.7687934301958024
GAIL,3.7808641975308617
ASPINWALL,3.9977477477477605
ABBOTINDIA,4.314420803782506
RITES,5.861493533583651
CASTROLIND,6.82608695652177
COSMOFIRST,7.928880345987506
ICIL,8.703615225354362
MONTECARLO,9.061593034505005
PNBGILTS,11.202255831838
RVNL,11.227255129694157
IRFC,11.977869986168734
COCHINSHIP,12.236767216846896
JPPOWER,14.010007147962824
WIPRO,14.018691588785057
CHOLAHLDNG,14.43630074940296
OFSS,15.55765169069249
BIRLANU,17.174483624329564
PETRONET,19.544259421560092
GULFOILLUB,19.565217391304323
SMALLCAP,20.390455531453316
KTKBANK,23.873085339168536
ZYDUSLIFE,23.986710963455153
DRREDDY,25.2183406113537
AMBUJACEM,29.305135951661633
JINDALSAW,30.2820731991608
TCS,30.441281601351772
ICICIBANK,30.56453618502863
TITAGARH,31.772151898734187
NATCOPHARM,32.311157311157324
RUBFILA,33.10616929698709
EIDPARRY,34.16298675230831
MOIL,35.74423480083861
BALKRISIND,36.52375022238032
MAITHANALL,37.52604166666668
DATAPATTNS,38.02999384575517
MOTILALOFS,39.9029772662418
HITECHGEAR,40.93754549424954
NTPC,41.6924664602683
AUROPHARMA,42.23259762309
PHARMABEES,49.56268221574342
CEATLTD,53.82458706649601
CHOLAFIN,57.643691867398026
METROPOLIS,58.601791204384455
IFCI,59.40959409594095
ONGC,59.74542561654732
TEGA,59.820895522388064
ASIANPAINT,59.947882736156345
CARTRADE,61.324088095427854
LGBBROSLTD,61.42623716153127
ABSLAMC,61.80314309346569
ADANIPORTS,63.820412051923284
DABUR,63.9684106614018
LT,64.21906693711969
JSL,67.2284378983147
GLENMARK,67.73719326020583
MIDCAPETF,68.27731092436977
IOC,68.51607221488328
IPCALAB,69.27848514528243
COALINDIA,70.68273092369478
HEROMOTOCO,71.24238560702649
ICICIPRULI,72.71527548663808
NIFTYETF,73.19786096256678
PGINVIT,73.69394359685623
MARUTI,74.47272422323788
BAJAJ-AUTO,75.40983606557377
MANAPPURAM,77.51921659471415
GESHIP,78.63362357669125
TATACONSUM,81.56161806208843
ITIETF,82.02933985330067
TVSMOTOR,82.9210722022828
TMB,83.95213255599879
HDFCNIFIT,84.03465346534654
HCLTECH,84.30836522689992
TITAN,84.91739552964043
IDFCFIRSTB,85.34233365477341
EMBASSY,86.49197860962568
SAIL,87.47124032629155
IRBINVIT,87.50897343862167
INFY,87.92015014502648
INDIANB,89.50159066808058
TATASTEEL,92.20235218301916
TECHM,92.84512728496134
TMCV,94.06337745687928
HINDALCO,95.89632829373652
SOUTHBANK,96.44144144144144
MUTHOOTFIN,97.24666769594977
VEDL,98.06182924875858
GOLDBEES,100.0
GOLDETF,100.0
GOLDIETF,100.0
HINDZINC,100.0
MOGOLD,100.0
SETFGOLD,100.0
SGBN28VIII,100.0
HIL,
TATAMOTORS,
