symbol,2025-12-22,2025-12-23,2025-12-24,2025-12-26,2025-12-29,2025-12-30,2025-12-31,2026-01-02
AAT,-0.41937507174076744,-0.534115864634748,-0.5940994428642227,-0.6532075924570571,-0.6585205879353154,-0.6604175955495746,-0.6970410587486365,-0.7775766036777156
ADC,0.6692288608757533,0.4935875282534182,0.33932765722560904,0.16051755160504172,-0.015168835012105747,-0.13188014564644102,-0.25422382039508323,-0.3914334461269652
AHH,-1.1225102361805726,-0.9546390214537057,-0.8193732946159443,-0.7445460114809634,-0.6053531038825135,-0.5286471663272339,-0.3434043446960659,-0.1150008983035967
BRK-B,0.9526581087859732,0.8860177660003907,0.8086557414431988,0.6780171455368127,0.5743162552428898,0.5509649109570255,0.5302248145375671,0.4916699634152805
DPYE.L,1.324677077111824,1.241328276902398,1.1466166028990223,1.0888648807335877,1.015303773530478,1.006244889917113,1.0148588150925257,0.9959593819530546
IUKP.L,-0.45769214138404163,-0.38633859907477613,-0.3926280292393399,-0.40153999866223766,-0.414731899958483,-0.347860961183063,-0.3156034990759754,-0.3234303053844076
IWDP.L,0.5646613546933775,0.42146743053273944,0.2958287530311903,0.22034348738760604,0.1137010259277969,0.04824892285167049,-0.006816209286530783,-0.040762045132042825
PBR,1.2719004788912387,0.9740869756032295,0.6777867438555039,0.32593526809070805,-0.005655076922474905,-0.24121776491594854,-0.500591510663168,-0.8200975436513671
RESI.L,-0.45895439078119216,-0.10671138144336381,0.1170429798797521,0.245349456936974,0.3528273455775908,0.26066669739670995,0.2344286393597076,0.32101273213276044
SUPR.L,0.6880888370070589,0.7190209234822329,0.6891216224644596,0.6735920643971421,0.621035083353361,0.6393677845124507,0.6019123451344395,0.5193625098965389
UNIT,-3.5376345143222006,-2.83229568665345,-2.1266398580265684,-1.5718524946227268,-1.0207321744843607,-0.5749504049157282,-0.20604187708355517,0.03118507476062689
