symbol,2026-03-02
AMBUJACEM,0.0
BIRLANU,0.0
CAMS,0.0
CHOLAHLDNG,0.0
GREAVESCOT,0.0
GULFPETRO,0.0
HDFCBANK,0.0
GNFC,0.0
HGS,0.0
RVNL,0.0
TECHM,0.0
TITAGARH,0.0
TTKPRESTIG,0.0
WIPRO,0.0
MOIL,0.0
IRFC,0.0
RITES,0.0
PNBGILTS,1.2004175365344674
ASPINWALL,1.2090359529112467
MONTECARLO,1.214713430282277
COCHINSHIP,1.2557555462536627
BAJFINANCE,1.4152542372881356
GENUSPOWER,2.0241691842900265
HDFCNIFIT,2.2727272727272254
BASML,2.391725921137692
ITIETF,2.678571428571458
ARE&M,2.9487179487179724
PPL,3.233305912228617
INFY,3.234371228578347
TCS,3.8024266743097517
SMALLCAP,3.8510911424903362
ITC,4.083926564256267
ABBOTINDIA,5.4904051172707895
EXIDEIND,5.555555555555585
HDFCAMC,6.357045894347698
TATACHEM,6.488973504680326
STOVEKRAFT,6.595336953050156
CASTROLIND,6.869565217391297
JUBLFOOD,7.467183128900352
HCLTECH,7.936111804342389
JPPOWER,8.791994281629737
RUBFILA,8.89526542324248
GULFOILLUB,9.45386064030137
WSTCSTPAPR,9.951386903059754
EIDPARRY,10.180523148716699
CIPLA,11.363636363636363
OFSS,12.01769101723349
MOTILALOFS,12.428253484830728
GAIL,12.690102218898033
ASIANPAINT,13.824104234527676
CARTRADE,15.034726175566432
DMART,15.531424810793034
BALKRISIND,16.135918875644872
BALMLAWRIE,17.006225240520635
COSMOFIRST,17.033636950441082
HITECHGEAR,18.139534883720952
PCBL,20.303116957392053
WHIRLPOOL,20.927635497319837
ZYDUSLIFE,21.585535465924885
GLAXO,21.7828418230563
PTC,22.39560439560439
CROMPTON,23.21363801233224
JINDALSAW,24.698544698544715
MAITHANALL,27.015515667782196
IDFCFIRSTB,28.04632426988926
ICIL,31.07978977544198
ICICIBANK,31.866825208085594
CEATLTD,33.26737375336393
METROPOLIS,39.263902282224365
TMPV,41.37713202779534
MARUTI,43.786295005807204
NIFTYETF,44.66786355475759
TATACONSUM,47.285886610374014
DABUR,49.861033907726515
IFCI,52.5830258302583
TEGA,58.24477611940297
EMBASSY,58.751472320376955
MANAPPURAM,58.82225119513256
ADANIPORTS,62.98629121896997
AARTIIND,63.33901192504258
PGINVIT,63.969285292380405
LT,64.71533286474542
COALINDIA,65.57759626604434
MIDCAPETF,65.62500000000006
HINDZINC,65.642151481888
NATCOPHARM,67.43753871567212
ICICIPRULI,67.45920745920738
HEROMOTOCO,67.91511667230301
DRREDDY,68.18816953889151
MUTHOOTFIN,69.92721979621544
JSL,71.2288061527705
KTKBANK,72.53829321663018
CHOLAFIN,73.56381596048868
IRBINVIT,73.58299595141702
PETRONET,74.87223168654174
SOUTHBANK,75.36764705882354
JINDALPOLY,76.24560375146542
SGBN28VIII,77.41257928118392
HINDALCO,79.18781725888326
IPCALAB,79.75840679072805
ABSLAMC,82.77032761840096
IOC,83.5594886922321
LGBBROSLTD,85.45340050377834
AUROPHARMA,85.62329390354871
BAJAJ-AUTO,86.2409886714727
GOLDIETF,86.71195652173913
GLENMARK,87.85957496771168
GOLDETF,87.88516272738524
VEDL,88.03061934585944
GOLDBEES,88.18535041013095
TMB,88.2228490832158
SETFGOLD,88.31892946752161
NTPC,88.93072289156632
PHARMABEES,89.029535864979
TVSMOTOR,89.06625339015886
MOGOLD,89.8861352980576
TATASTEEL,93.00991940483568
TITAN,93.07006613629827
GESHIP,95.3613029584579
TMCV,96.11081513052743
DATAPATTNS,96.37921503593148
INDIANB,96.60978384527873
SAIL,99.78835978835978
ONGC,100.0
HIL,
TATAMOTORS,
