symbol,2025-12-23
CAMS,0.7417605574443004
PCBL,1.0132501948557715
BAJFINANCE,1.7898305084745758
BIRLANU,3.406606053631017
HDFCBANK,4.818274299454363
HDFCAMC,5.016712426883143
CASTROLIND,5.172413793103465
WHIRLPOOL,5.821789591913124
ARE&M,6.199701937406838
JINDALPOLY,6.880900508351486
JUBLFOOD,7.382953181272549
ABBOTINDIA,8.271144278606965
PPL,8.527798247768775
JINDALSAW,9.178017104846354
CROMPTON,9.278803869832878
GULFPETRO,9.808917197452267
TATACHEM,10.829268292682928
BASML,13.603988603988604
PNBGILTS,13.631913852178155
GLAXO,14.205781784271046
HGS,14.758269720101797
GREAVESCOT,14.774882699410984
ASPINWALL,16.3919201300209
WSTCSTPAPR,17.01075894155278
BALKRISIND,17.434620174346204
COSMOFIRST,19.729525640145525
NTPC,21.261261261261282
OFSS,21.442778928373706
GNFC,22.47684056557773
AARTIIND,24.589565851878866
PETRONET,25.766871165644144
ITC,26.0145681581686
TMPV,26.970108695652193
TTKPRESTIG,27.441142416055552
MAITHANALL,28.828124999999993
STOVEKRAFT,29.124457308248918
IRFC,29.294605809128637
DMART,29.76461921633282
RVNL,30.39101819589625
JPPOWER,33.450704225352126
PTC,34.32911392405064
GENUSPOWER,34.40249787113257
COCHINSHIP,36.598223015771794
ICIL,38.047459786590245
BALMLAWRIE,39.22179886849094
RITES,39.266684728619154
EXIDEIND,39.26868044515104
GAIL,40.21739130434782
RUBFILA,41.068866571018646
DABUR,41.21421520236917
ONGC,41.500928135773016
CIPLA,41.59196844747223
IFCI,42.22017220172201
HITECHGEAR,42.757315475323935
ZYDUSLIFE,46.82170542635658
TCS,46.96969696969697
MOIL,48.914616497829236
AMBUJACEM,52.66709511568124
METROPOLIS,55.794679855634286
ICICIBANK,55.85237258347983
TITAGARH,56.09840609840609
CHOLAHLDNG,58.17324607698261
SMALLCAP,59.47265625000002
MOTILALOFS,60.001902406544275
ABSLAMC,60.30372305682561
PGINVIT,60.56466302367942
IPCALAB,61.19073869900774
NATCOPHARM,62.54331254331257
MONTECARLO,64.52757175104806
GULFOILLUB,64.84893146647018
EIDPARRY,70.15184381778742
SAIL,70.22067939499135
DATAPATTNS,70.81888958345172
DRREDDY,71.17903930131003
INDIANB,73.25828642901814
INFY,73.88110461161746
CARTRADE,74.75624983395765
TATASTEEL,75.36631615238753
EMBASSY,76.69443587370152
HEROMOTOCO,78.77441030307273
CEATLTD,79.20029156036861
ICICIPRULI,79.51304347826084
CHOLAFIN,80.36730470770821
ASIANPAINT,80.78670492587281
TECHM,80.80071773017833
GLENMARK,81.03930361382223
ITIETF,81.21775025799793
KTKBANK,81.63583252190845
HDFCNIFIT,82.32804232804232
TMB,82.39845261121856
AUROPHARMA,83.10696095076402
IRBINVIT,83.27351040918882
IOC,83.4814690591984
HCLTECH,83.5975943138327
COALINDIA,83.87434554973812
BAJAJ-AUTO,84.27140640428833
WIPRO,85.43577981651372
GESHIP,85.67327016939417
TEGA,86.47746243739564
LGBBROSLTD,89.50746965452848
SOUTHBANK,90.53905390539055
ADANIPORTS,92.27144203581526
PHARMABEES,94.41176470588232
JSL,95.32976230331438
TATACONSUM,95.37055047656095
LT,96.77310600587585
MIDCAPETF,97.30848861283638
MUTHOOTFIN,97.37958029792321
NIFTYETF,98.27512776831345
TVSMOTOR,98.44350111178493
MANAPPURAM,98.68047097036133
MARUTI,98.79682286036565
IDFCFIRSTB,98.92174984596429
TITAN,99.15509320378095
HINDALCO,99.76878612716766
SGBN28VIII,99.89793983277303
HINDZINC,100.0
GOLDBEES,100.0
GOLDETF,100.0
GOLDIETF,100.0
MOGOLD,100.0
SETFGOLD,100.0
VEDL,100.0
TMCV,100.0
HIL,
TATAMOTORS,
