symbol,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09
ABSLAMC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COALINDIA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DABUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DATAPATTNS,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
HITECHGEAR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ICIL,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPPOWER,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
MOTILALOFS,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
TCS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
