symbol,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23
CHOLAHLDNG,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
CIPLA,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
HITECHGEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
ONGC,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
RUBFILA,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALLCAP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TECHM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTKPRESTIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
WIPRO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
